"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko00982","metagenomeSeq","Pro-inflammatory","Pro-survival","0.972799321941277","BH",0.999057778157175
"ko03010","metagenomeSeq","Pro-inflammatory","Pro-survival","0.995577180232644","BH",0.999057778157175
"ko00140","metagenomeSeq","Pro-inflammatory","Pro-survival","0.794961512169752","BH",0.999057778157175
"ko05100","metagenomeSeq","Pro-inflammatory","Pro-survival","0.723535235691953","BH",0.999057778157175
"ko00860","metagenomeSeq","Pro-inflammatory","Pro-survival","0.880249529716934","BH",0.999057778157175
"ko05410","metagenomeSeq","Pro-inflammatory","Pro-survival",NA,"BH",NA
"ko00330","metagenomeSeq","Pro-inflammatory","Pro-survival","0.908342096845361","BH",0.999057778157175
"ko00908","metagenomeSeq","Pro-inflammatory","Pro-survival","0.585263100850918","BH",0.999057778157175
"ko04930","metagenomeSeq","Pro-inflammatory","Pro-survival","0.889645385795092","BH",0.999057778157175
"ko03430","metagenomeSeq","Pro-inflammatory","Pro-survival","0.889764467472419","BH",0.999057778157175
"ko00906","metagenomeSeq","Pro-inflammatory","Pro-survival","0.699695535129794","BH",0.999057778157175
"ko00900","metagenomeSeq","Pro-inflammatory","Pro-survival","0.876106001042789","BH",0.999057778157175
"ko00903","metagenomeSeq","Pro-inflammatory","Pro-survival","0.775840843506187","BH",0.999057778157175
"ko00471","metagenomeSeq","Pro-inflammatory","Pro-survival","0.991911433488971","BH",0.999057778157175
"ko00472","metagenomeSeq","Pro-inflammatory","Pro-survival","0.900443771520183","BH",0.999057778157175
"ko00473","metagenomeSeq","Pro-inflammatory","Pro-survival","0.875288186433961","BH",0.999057778157175
"ko05111","metagenomeSeq","Pro-inflammatory","Pro-survival","0.767920228399077","BH",0.999057778157175
"ko04210","metagenomeSeq","Pro-inflammatory","Pro-survival","0.529414673603492","BH",0.999057778157175
"ko00240","metagenomeSeq","Pro-inflammatory","Pro-survival","0.927485362107059","BH",0.999057778157175
"ko04011","metagenomeSeq","Pro-inflammatory","Pro-survival","0.840373968150637","BH",0.999057778157175
"ko00944","metagenomeSeq","Pro-inflammatory","Pro-survival","0.915014306924936","BH",0.999057778157175
"ko04113","metagenomeSeq","Pro-inflammatory","Pro-survival","0.600535052091585","BH",0.999057778157175
"ko04070","metagenomeSeq","Pro-inflammatory","Pro-survival","0.614364374872531","BH",0.999057778157175
"ko03420","metagenomeSeq","Pro-inflammatory","Pro-survival","0.891875281904971","BH",0.999057778157175
"ko00770","metagenomeSeq","Pro-inflammatory","Pro-survival","0.934983180374956","BH",0.999057778157175
"ko02040","metagenomeSeq","Pro-inflammatory","Pro-survival","0.897598876802062","BH",0.999057778157175
"ko00670","metagenomeSeq","Pro-inflammatory","Pro-survival","0.785693631586141","BH",0.999057778157175
"ko04920","metagenomeSeq","Pro-inflammatory","Pro-survival","0.520263495428932","BH",0.999057778157175
"ko00930","metagenomeSeq","Pro-inflammatory","Pro-survival","0.798432808348692","BH",0.999057778157175
"ko04112","metagenomeSeq","Pro-inflammatory","Pro-survival","0.952088793263392","BH",0.999057778157175
