"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko00982","LinDA","Pro-inflammatory","Pro-survival","0.995872255111418","BH",0.996653130435666
"ko03010","LinDA","Pro-inflammatory","Pro-survival","0.829902511218935","BH",0.996653130435666
"ko00140","LinDA","Pro-inflammatory","Pro-survival","0.60703765533067","BH",0.996653130435666
"ko05100","LinDA","Pro-inflammatory","Pro-survival","0.494580081436201","BH",0.996653130435666
"ko00860","LinDA","Pro-inflammatory","Pro-survival","0.763436908733763","BH",0.996653130435666
"ko05410","LinDA","Pro-inflammatory","Pro-survival","0.0143196624778838","BH",0.111120580828378
"ko00330","LinDA","Pro-inflammatory","Pro-survival","0.936281259898868","BH",0.996653130435666
"ko00908","LinDA","Pro-inflammatory","Pro-survival","0.213379428953746","BH",0.713717400293564
"ko04930","LinDA","Pro-inflammatory","Pro-survival","0.913726318880986","BH",0.996653130435666
"ko03430","LinDA","Pro-inflammatory","Pro-survival","0.957220457352407","BH",0.996653130435666
"ko00906","LinDA","Pro-inflammatory","Pro-survival","0.105145806020711","BH",0.551305036973458
"ko00900","LinDA","Pro-inflammatory","Pro-survival","0.916621880228915","BH",0.996653130435666
"ko00903","LinDA","Pro-inflammatory","Pro-survival","0.462344222656702","BH",0.996653130435666
"ko00471","LinDA","Pro-inflammatory","Pro-survival","0.849265380142805","BH",0.996653130435666
"ko00472","LinDA","Pro-inflammatory","Pro-survival","0.29096385762642","BH",0.83010277028714
"ko00473","LinDA","Pro-inflammatory","Pro-survival","0.897269307960494","BH",0.996653130435666
"ko05111","LinDA","Pro-inflammatory","Pro-survival","0.376961403756845","BH",0.962243583274052
"ko04210","LinDA","Pro-inflammatory","Pro-survival","0.0265786870557517","BH",0.192024062364738
"ko00240","LinDA","Pro-inflammatory","Pro-survival","0.941721955991171","BH",0.996653130435666
"ko04011","LinDA","Pro-inflammatory","Pro-survival","0.743341614372519","BH",0.996653130435666
"ko00944","LinDA","Pro-inflammatory","Pro-survival","0.699733740171044","BH",0.996653130435666
"ko04113","LinDA","Pro-inflammatory","Pro-survival","0.00740017245277945","BH",0.0844490268140714
"ko04070","LinDA","Pro-inflammatory","Pro-survival","0.23753110863825","BH",0.7314450012035
"ko03420","LinDA","Pro-inflammatory","Pro-survival","0.969377675343987","BH",0.996653130435666
"ko00770","LinDA","Pro-inflammatory","Pro-survival","0.992257295082443","BH",0.996653130435666
"ko02040","LinDA","Pro-inflammatory","Pro-survival","0.693901024200733","BH",0.996653130435666
"ko00670","LinDA","Pro-inflammatory","Pro-survival","0.555277016943252","BH",0.996653130435666
"ko04920","LinDA","Pro-inflammatory","Pro-survival","0.0476815420865864","BH",0.318973074648199
"ko00930","LinDA","Pro-inflammatory","Pro-survival","0.236543203746094","BH",0.7314450012035
"ko04112","LinDA","Pro-inflammatory","Pro-survival","0.938662546054923","BH",0.996653130435666
