"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko05020","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.252149746705643,"BH",0.340885371852925
"ko05143","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.348714495292655,"BH",0.442160863312255
"ko00523","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0232074365433939,"BH",0.0703475420221628
"ko00520","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00624862921934227,"BH",0.0472578874412031
"ko00521","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0174819595542791,"BH",0.0616636391550935
"ko05146","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00189669303537103,"BH",0.0407722735012026
"ko05145","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00149500914589283,"BH",0.0368815120627325
"ko00052","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00336775313175001,"BH",0.0452119292943344
"ko00053","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0168746951081817,"BH",0.0611904831960234
"ko00051","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00252230380874673,"BH",0.0452119292943344
"ko00401","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.195664601890289,"BH",0.281177279753453
"ko00400","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.106212978082576,"BH",0.187321070436543
"ko04020","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0346128183946054,"BH",0.0878138917270108
"ko00350","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00368321652277213,"BH",0.0452119292943344
"ko00480","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0121112459521554,"BH",0.0547369388927148
"ko00643","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.343290124238232,"BH",0.438146605935638
"ko00642","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.24126828224591,"BH",0.328938094397949
"ko00640","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.011525964807945,"BH",0.0547369388927148
"ko00720","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0896585142701914,"BH",0.16565477874683
"ko00960","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.368045255763032,"BH",0.457782150552944
"ko02020","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0202767108428495,"BH",0.0666725746358102
"ko00120","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0647673440275436,"BH",0.130884007722328
"ko03008","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.015973991127476,"BH",0.0595952745909682
"ko05414","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0342299244724554,"BH",0.0878138917270108
"ko00290","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0354627278958777,"BH",0.0882021693820547
"ko04614","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.446440605633974,"BH",0.536281594383846
"ko03410","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00562255529629953,"BH",0.0454489886450879
"ko05010","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.903420625899106,"BH",0.910460267139878
"ko05012","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.000149369807161677,"BH",0.0368815120627325
